model,cond,pair,layer,n,metric,value
en-ar-fair,fair,en-ar,0,1000,hungarian,0.5594
en-ar-fair,fair,en-ar,0,1000,mexa_mutual,0.3534
en-ar-fair,fair,en-ar,0,1000,top1_a2b,0.43920000000000003
en-ar-fair,fair,en-ar,0,1000,top1_b2a,0.4504
en-ar-fair,fair,en-ar,0,2009,hungarian,0.4843205574912892
en-ar-fair,fair,en-ar,0,2009,mexa_mutual,0.3086112493777999
en-ar-fair,fair,en-ar,0,2009,top1_a2b,0.3867595818815331
en-ar-fair,fair,en-ar,0,2009,top1_b2a,0.40169238427078147
en-ar-fair,fair,en-ar,1,1000,hungarian,0.9056000000000001
en-ar-fair,fair,en-ar,1,1000,mexa_mutual,0.29979999999999996
en-ar-fair,fair,en-ar,1,1000,top1_a2b,0.4468
en-ar-fair,fair,en-ar,1,1000,top1_b2a,0.5128
en-ar-fair,fair,en-ar,1,2009,hungarian,0.8815331010452961
en-ar-fair,fair,en-ar,1,2009,mexa_mutual,0.27177700348432055
en-ar-fair,fair,en-ar,1,2009,top1_a2b,0.40816326530612246
en-ar-fair,fair,en-ar,1,2009,top1_b2a,0.47834743653558986
en-ar-fair,fair,en-ar,2,1000,hungarian,0.9558
en-ar-fair,fair,en-ar,2,1000,mexa_mutual,0.3426
en-ar-fair,fair,en-ar,2,1000,top1_a2b,0.49139999999999995
en-ar-fair,fair,en-ar,2,1000,top1_b2a,0.5683999999999999
en-ar-fair,fair,en-ar,2,2009,hungarian,0.9352911896465903
en-ar-fair,fair,en-ar,2,2009,mexa_mutual,0.30761572921851665
en-ar-fair,fair,en-ar,2,2009,top1_a2b,0.44947735191637633
en-ar-fair,fair,en-ar,2,2009,top1_b2a,0.5380786460925834
en-ar-fair,fair,en-ar,3,1000,hungarian,0.9687999999999999
en-ar-fair,fair,en-ar,3,1000,mexa_mutual,0.365
en-ar-fair,fair,en-ar,3,1000,top1_a2b,0.484
en-ar-fair,fair,en-ar,3,1000,top1_b2a,0.6038
en-ar-fair,fair,en-ar,3,2009,hungarian,0.9487307117969139
en-ar-fair,fair,en-ar,3,2009,mexa_mutual,0.3230462916874067
en-ar-fair,fair,en-ar,3,2009,top1_a2b,0.4335490293678447
en-ar-fair,fair,en-ar,3,2009,top1_b2a,0.571926331508213
en-ar-fair,fair,en-ar,4,1000,hungarian,0.9810000000000001
en-ar-fair,fair,en-ar,4,1000,mexa_mutual,0.4298
en-ar-fair,fair,en-ar,4,1000,top1_a2b,0.5307999999999999
en-ar-fair,fair,en-ar,4,1000,top1_b2a,0.6878
en-ar-fair,fair,en-ar,4,2009,hungarian,0.9701343952215032
en-ar-fair,fair,en-ar,4,2009,mexa_mutual,0.390741662518666
en-ar-fair,fair,en-ar,4,2009,top1_a2b,0.49029367844698857
en-ar-fair,fair,en-ar,4,2009,top1_b2a,0.6540567446490791
en-ar-fair,fair,en-ar,5,1000,hungarian,0.9196
en-ar-fair,fair,en-ar,5,1000,mexa_mutual,0.47379999999999994
en-ar-fair,fair,en-ar,5,1000,top1_a2b,0.6272
en-ar-fair,fair,en-ar,5,1000,top1_b2a,0.703
en-ar-fair,fair,en-ar,5,2009,hungarian,0.9024390243902439
en-ar-fair,fair,en-ar,5,2009,mexa_mutual,0.4444997511199602
en-ar-fair,fair,en-ar,5,2009,top1_a2b,0.5863613738178198
en-ar-fair,fair,en-ar,5,2009,top1_b2a,0.6809357889497263
en-ar-fair,fair,en-ar,6,1000,hungarian,0.9800000000000001
en-ar-fair,fair,en-ar,6,1000,mexa_mutual,0.6272
en-ar-fair,fair,en-ar,6,1000,top1_a2b,0.7706000000000001
en-ar-fair,fair,en-ar,6,1000,top1_b2a,0.806
en-ar-fair,fair,en-ar,6,2009,hungarian,0.9741164758586361
en-ar-fair,fair,en-ar,6,2009,mexa_mutual,0.5973120955699353
en-ar-fair,fair,en-ar,6,2009,top1_a2b,0.7426580388252862
en-ar-fair,fair,en-ar,6,2009,top1_b2a,0.7869586859133898
en-ar-fair,fair,en-ar,7,1000,hungarian,0.9986
en-ar-fair,fair,en-ar,7,1000,mexa_mutual,0.8228
en-ar-fair,fair,en-ar,7,1000,top1_a2b,0.9052
en-ar-fair,fair,en-ar,7,1000,top1_b2a,0.9120000000000001
en-ar-fair,fair,en-ar,7,2009,hungarian,0.9985067197610752
en-ar-fair,fair,en-ar,7,2009,mexa_mutual,0.7894474863115978
en-ar-fair,fair,en-ar,7,2009,top1_a2b,0.8825286212045794
en-ar-fair,fair,en-ar,7,2009,top1_b2a,0.8974614235938277
en-ar-fair,fair,en-ar,8,1000,hungarian,0.9916
en-ar-fair,fair,en-ar,8,1000,mexa_mutual,0.851
en-ar-fair,fair,en-ar,8,1000,top1_a2b,0.9154
en-ar-fair,fair,en-ar,8,1000,top1_b2a,0.9282
en-ar-fair,fair,en-ar,8,2009,hungarian,0.9905425584868094
en-ar-fair,fair,en-ar,8,2009,mexa_mutual,0.8327526132404182
en-ar-fair,fair,en-ar,8,2009,top1_a2b,0.9019412643106023
en-ar-fair,fair,en-ar,8,2009,top1_b2a,0.9208561473369836
en-ar-fair,fair,en-ar,9,1000,hungarian,0.9952
